school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,M,15,U,GT3,T,3,2,other,services,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,1,3,3,1,5,14,14,14
GP,M,15,U,GT3,T,3,4,health,other,reputation,mother,1,3,3,yes,yes,yes,no,yes,yes,yes,yes,5,3,3,2,1,4,9,6,7,8
GP,M,18,U,GT3,T,4,4,teacher,other,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,5,4,4,1,4,5,6,13,14,13
GP,F,16,U,GT3,T,2,4,at_home,at_home,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5,2,5,1,2,5,4,13,14,13
GP,F,17,U,GT3,T,4,1,other,services,home,father,1,1,0,yes,yes,yes,no,yes,yes,yes,yes,2,4,5,2,2,4,4,14,15,16
GP,M,16,R,LE3,T,1,4,other,services,reputation,mother,1,2,1,no,no,no,no,yes,yes,yes,no,5,5,3,1,2,3,7,9,9,9
GP,F,16,U,GT3,T,2,1,at_home,other,course,mother,1,3,3,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,3,4,7,5,6,6
GP,F,17,R,GT3,T,3,4,other,other,course,mother,2,1,0,no,yes,yes,no,yes,yes,yes,yes,4,5,2,1,3,3,4,11,12,12
GP,M,15,R,LE3,T,1,3,services,health,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,3,1,4,4,4,10,10,10
MS,M,20,U,GT3,T,3,2,teacher,other,reputation,mother,2,1,0,no,no,no,yes,yes,yes,no,no,2,3,5,4,1,4,5,14,14,14
GP,F,18,U,LE3,T,4,1,teacher,services,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,5,5,3,1,3,5,9,12,13,13
GP,F,18,R,GT3,T,4,1,teacher,other,home,father,2,4,0,no,yes,no,no,no,yes,yes,no,2,5,5,1,3,3,12,15,16,16
GP,F,16,U,LE3,T,3,2,services,services,reputation,mother,1,2,1,no,no,no,yes,yes,no,yes,yes,4,3,2,2,3,2,7,10,10,10
GP,F,15,U,GT3,T,3,4,at_home,services,reputation,mother,1,2,1,yes,yes,yes,no,yes,yes,yes,no,5,3,2,1,2,4,1,10,10,11
GP,M,19,U,GT3,T,2,4,services,health,home,mother,1,3,1,yes,yes,no,yes,yes,yes,yes,yes,5,2,3,2,2,1,6,9,10,11
GP,F,16,U,LE3,T,1,4,at_home,other,home,mother,1,2,0,no,no,no,yes,yes,yes,no,yes,5,3,5,1,3,2,8,10,10,10
GP,F,15,U,GT3,T,1,1,services,other,course,other,2,1,0,no,no,no,no,yes,yes,yes,no,4,4,2,1,1,3,6,11,12,11
GP,M,16,R,GT3,T,3,3,other,other,reputation,mother,1,1,1,no,yes,no,yes,yes,yes,no,no,3,3,4,1,1,4,8,9,10,11
GP,F,18,R,GT3,T,4,2,other,other,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,3,2,1,2,3,5,12,12,12
GP,F,17,U,GT3,T,1,3,services,services,home,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,3,3,4,1,1,4,10,13,15,15
MS,M,18,U,LE3,T,3,2,services,services,reputation,other,1,2,1,no,yes,yes,yes,yes,yes,yes,no,5,1,3,1,1,5,5,12,13,13
GP,M,18,U,GT3,T,4,2,at_home,services,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,4,5,2,2,1,4,6,14,15,15
GP,M,16,R,GT3,T,4,3,at_home,other,reputation,father,4,3,1,no,yes,yes,no,yes,yes,yes,yes,4,3,4,2,3,3,4,12,12,13
GP,M,19,U,GT3,A,3,1,services,services,course,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,3,2,4,1,5,1,8,13,14,14
GP,F,16,R,LE3,T,3,2,services,other,home,mother,2,2,2,no,no,no,yes,yes,yes,yes,yes,4,1,3,1,2,2,4,9,9,9
GP,M,17,R,GT3,A,4,3,other,services,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,5,4,2,1,1,4,9,12,13,13
GP,M,15,U,GT3,T,4,1,other,health,home,mother,2,3,0,no,yes,yes,no,yes,yes,yes,yes,4,4,2,1,4,5,11,14,14,14
GP,M,21,U,LE3,T,1,4,teacher,services,reputation,mother,2,2,1,no,yes,no,yes,yes,yes,yes,yes,3,2,5,1,1,1,0,10,11,0
GP,M,16,R,GT3,T,4,3,services,teacher,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,4,3,5,2,8,11,11,11
GP,M,15,U,LE3,T,1,4,other,other,reputation,father,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,4,4,2,3,8,9,10,10
GP,M,16,U,GT3,T,4,3,teacher,other,reputation,father,2,2,0,no,no,yes,yes,yes,yes,yes,no,3,2,4,1,1,3,3,12,13,14
GP,F,15,R,GT3,T,1,3,other,services,course,father,1,2,0,no,no,no,yes,no,yes,yes,no,5,4,4,2,2,5,4,9,10,10
GP,M,15,U,GT3,T,2,3,health,other,reputation,mother,4,2,1,no,yes,yes,no,yes,yes,no,no,4,2,2,1,1,2,7,11,12,11
GP,F,17,U,LE3,A,0,4,at_home,other,course,father,1,1,0,no,yes,no,no,yes,yes,no,no,3,3,3,1,3,1,2,11,12,13
GP,M,16,U,GT3,T,3,3,services,other,home,other,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,3,4,1,1,3,9,11,12,12
GP,M,19,U,GT3,T,2,2,teacher,other,home,mother,2,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,1,4,2,8,11,11,11
GP,M,16,R,GT3,T,2,1,other,other,reputation,mother,1,2,2,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,3,2,4,7,7,7
MS,M,18,U,GT3,T,3,3,services,other,reputation,father,1,2,2,no,yes,no,yes,yes,yes,no,no,4,2,3,5,4,3,5,8,9,9
GP,F,16,U,GT3,T,2,1,other,other,reputation,mother,2,3,2,no,no,no,yes,no,yes,yes,yes,1,3,4,1,4,3,9,7,8,9
GP,M,17,U,GT3,T,4,2,services,other,other,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,4,1,1,1,8,13,15,15
GP,M,17,R,GT3,T,4,1,other,other,course,father,1,2,0,no,yes,no,no,yes,yes,no,no,5,2,1,1,2,4,10,15,15,14
GP,F,17,U,GT3,T,3,3,other,health,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,5,5,4,4,4,7,12,12,12
MS,F,19,R,GT3,T,1,1,at_home,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,1,5,11,10,11
GP,F,16,U,GT3,T,2,3,health,other,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,3,1,5,5,16,18,18
MS,M,15,R,GT3,T,4,4,other,health,course,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,3,2,5,2,1,3,10,14,15,15
GP,F,17,R,GT3,A,1,4,at_home,other,course,father,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,7,9,10,9
GP,M,18,R,GT3,T,2,2,other,other,other,mother,1,1,0,no,yes,no,yes,yes,yes,no,yes,4,5,5,1,4,5,6,12,13,13
GP,F,15,R,GT3,T,4,3,services,services,course,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,4,4,1,2,3,3,12,12,13
GP,M,16,U,GT3,T,4,3,services,other,course,father,1,3,0,no,yes,yes,no,no,yes,yes,no,3,4,4,2,3,2,10,13,13,13
GP,F,18,R,GT3,T,2,2,teacher,other,course,mother,1,4,0,yes,no,no,no,yes,yes,no,no,5,4,2,1,5,5,8,14,16,15
GP,M,18,U,GT3,T,3,3,other,other,home,father,1,2,1,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,3,8,10,11,11
MS,F,21,U,LE3,T,3,2,other,services,course,mother,1,3,0,yes,no,no,no,yes,yes,yes,yes,4,4,5,1,3,2,4,10,11,11
GP,M,17,R,GT3,T,4,4,teacher,services,reputation,mother,2,3,2,yes,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,4,8,10,10,10
MS,M,17,R,LE3,T,1,1,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,3,1,3,2,1,4,10,11,11,11
GP,M,16,U,GT3,A,1,4,other,services,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,3,3,2,1,5,8,7,7,0
GP,M,19,U,LE3,T,3,3,teacher,services,home,father,1,4,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,6,15,17,18
GP,F,16,U,GT3,T,2,2,teacher,teacher,home,father,1,1,0,no,yes,yes,yes,no,yes,yes,no,3,2,3,1,2,5,10,11,11,11
GP,F,18,U,GT3,T,3,3,other,services,home,other,2,2,0,no,no,no,yes,no,yes,no,no,4,4,4,1,2,5,6,12,12,12
GP,F,16,U,GT3,A,2,1,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,1,1,2,1,5,3,14,14,14
GP,F,17,U,LE3,T,4,4,teacher,other,home,father,2,2,1,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,4,6,9,10,10
GP,M,17,U,GT3,T,4,3,other,other,course,mother,1,1,1,no,yes,yes,yes,yes,yes,yes,yes,4,5,5,2,3,5,7,11,11,11
GP,M,17,U,GT3,A,3,1,at_home,other,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,2,3,3,1,1,5,10,12,13,13
GP,M,18,U,GT3,A,4,1,other,at_home,course,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,3,3,1,4,5,4,11,13,14
GP,M,16,U,LE3,T,2,4,other,services,home,father,1,3,0,no,yes,no,yes,no,yes,yes,no,4,4,2,3,5,5,4,13,14,15
GP,M,17,R,GT3,T,3,2,other,teacher,reputation,mother,1,1,0,no,no,yes,yes,no,yes,yes,no,4,4,2,1,3,4,1,15,15,15
GP,M,16,U,GT3,T,2,4,at_home,services,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,2,3,2,1,3,3,6,12,12,12
GP,F,16,U,GT3,T,4,4,services,services,course,father,1,3,0,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,3,5,4,14,14,15
GP,F,16,U,LE3,T,4,3,at_home,services,home,mother,2,1,0,no,no,yes,yes,no,yes,no,no,4,4,2,1,3,1,3,9,10,11
GP,M,15,U,GT3,T,4,2,teacher,teacher,home,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,4,5,2,4,5,2,5,12,13,14
GP,M,15,R,GT3,T,4,3,other,services,home,other,1,3,3,no,no,no,yes,no,yes,yes,yes,5,3,2,3,5,3,11,7,7,6
GP,F,17,U,LE3,T,4,4,teacher,other,course,mother,2,1,3,no,yes,no,no,yes,yes,yes,yes,4,3,1,2,2,4,7,6,7,7
GP,F,17,U,GT3,T,2,1,at_home,other,home,mother,2,1,0,no,no,yes,no,yes,yes,yes,yes,4,5,5,1,3,4,6,9,10,10
GP,M,17,R,GT3,T,4,2,teacher,other,course,mother,1,2,1,no,yes,no,no,yes,yes,yes,no,4,2,2,1,4,2,4,13,12,13
GP,F,15,R,GT3,T,3,2,services,other,course,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,3,1,1,4,13,13,14
GP,F,16,U,GT3,T,3,2,services,other,course,mother,1,2,0,yes,no,no,yes,yes,no,yes,no,2,3,5,1,2,2,6,9,9,8
GP,M,15,U,GT3,T,3,3,at_home,services,home,other,1,2,1,no,yes,yes,yes,no,yes,yes,yes,1,1,2,4,3,3,8,12,13,13
GP,M,18,U,GT3,T,2,2,other,other,home,other,1,4,1,no,no,yes,no,yes,yes,yes,no,5,2,3,1,3,1,8,8,9,9
GP,F,18,U,LE3,A,2,3,teacher,teacher,reputation,mother,1,2,1,no,no,no,no,yes,yes,yes,no,3,4,4,1,1,5,8,12,13,13
GP,M,16,U,LE3,T,2,2,other,at_home,home,father,1,2,0,no,no,no,no,yes,yes,yes,yes,4,4,3,1,1,3,6,12,13,13
GP,F,17,U,GT3,T,1,1,other,services,course,mother,1,2,1,no,no,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,6,8,9,0
GP,M,15,R,GT3,T,3,2,services,at_home,reputation,father,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,1,2,3,9,13,13,13
GP,F,16,U,GT3,T,4,4,other,services,reputation,mother,2,2,0,no,no,yes,no,yes,yes,yes,yes,5,3,4,1,4,4,6,13,14,14
GP,M,15,U,LE3,T,3,3,services,other,home,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4,4,3,2,4,5,6,15,16,16
MS,F,16,U,GT3,T,3,2,health,other,course,other,1,1,0,no,yes,no,no,yes,yes,no,no,2,4,1,1,1,2,6,11,12,12
GP,F,17,R,GT3,T,3,4,at_home,other,home,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,1,1,1,3,3,9,11,11
GP,M,18,U,GT3,T,3,1,teacher,other,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,1,3,5,0,12,12,12
GP,F,16,R,GT3,T,2,2,other,other,home,mother,2,2,1,no,no,yes,no,yes,no,no,no,4,5,3,2,3,1,9,12,13,13
GP,F,17,R,GT3,T,4,2,other,teacher,other,mother,2,1,0,no,no,no,yes,no,yes,yes,yes,4,4,2,1,2,5,7,14,13,12
GP,F,17,U,LE3,T,2,4,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,2,3,4,2,5,5,11,13,14
GP,M,19,U,GT3,T,4,3,at_home,other,home,mother,1,2,0,no,yes,no,yes,yes,no,yes,yes,4,5,5,3,1,4,6,13,13,13
GP,M,17,U,LE3,T,4,3,at_home,services,home,mother,1,2,0,no,no,no,yes,yes,yes,no,no,5,5,1,1,3,5,5,14,15,15
GP,M,16,U,GT3,T,3,0,other,services,reputation,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,4,3,1,1,3,3,7,11,12,11
GP,F,17,R,LE3,T,4,1,services,other,home,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,4,1,3,2,1,3,3,15,16,17
GP,F,16,U,LE3,T,2,3,teacher,other,home,mother,1,3,0,no,no,yes,yes,yes,yes,yes,no,2,4,4,1,4,1,9,10,11,11
GP,F,20,U,LE3,T,4,2,at_home,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,2,3,1,6,14,15,15
GP,M,16,U,GT3,T,4,4,services,other,course,other,1,3,0,no,yes,yes,no,yes,yes,no,no,4,4,5,1,5,3,9,14,14,14
GP,M,17,U,GT3,T,4,4,services,at_home,home,mother,1,2,1,no,yes,no,yes,yes,yes,yes,yes,4,3,1,1,2,4,5,11,11,12
GP,M,15,U,GT3,T,3,2,teacher,other,course,father,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,1,2,4,7,11,12,12
GP,M,16,U,GT3,A,4,3,at_home,services,home,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,5,3,3,1,5,2,12,14,15,15
GP,F,18,U,GT3,T,4,4,services,at_home,other,mother,2,2,0,no,yes,no,yes,no,yes,yes,no,4,4,3,3,5,4,4,14,15,15
GP,M,17,U,LE3,A,3,2,health,other,home,father,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,1,3,1,5,2,7,12,13,13
GP,F,16,U,LE3,T,4,3,teacher,teacher,course,mother,2,4,0,no,yes,yes,yes,no,yes,yes,no,5,4,4,3,4,3,6,13,13,14
GP,F,19,U,GT3,T,4,4,services,other,course,mother,1,1,0,yes,yes,no,no,yes,yes,yes,yes,5,3,2,1,2,2,6,14,15,15
GP,F,18,U,GT3,T,3,2,other,services,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5,3,4,2,1,5,9,12,12,13
GP,F,16,R,LE3,T,4,4,services,other,home,mother,1,2,1,yes,yes,no,no,yes,yes,yes,yes,5,3,2,3,2,4,3,12,12,12
GP,F,17,U,LE3,A,2,1,other,other,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,3,3,3,1,5,5,7,12,13,13
GP,F,17,U,GT3,T,3,3,other,other,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,12,14,15
GP,F,17,U,GT3,T,1,4,services,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,3,2,3,3,7,9,10,11
GP,M,16,U,LE3,T,2,3,other,other,course,mother,1,4,0,no,yes,no,no,yes,yes,no,no,4,2,2,2,5,5,10,12,14,15
GP,F,16,U,GT3,T,4,2,other,other,course,mother,1,2,0,no,no,yes,no,yes,yes,yes,no,3,3,5,1,5,1,6,11,12,12
GP,F,18,U,GT3,T,2,3,at_home,other,course,mother,2,4,1,no,yes,no,yes,yes,yes,yes,no,5,4,5,1,5,3,4,14,15,16
MS,M,19,R,LE3,T,2,1,teacher,other,reputation,mother,1,3,0,no,yes,yes,yes,no,yes,yes,no,3,4,4,2,2,1,7,12,13,13
GP,M,18,U,LE3,T,2,2,teacher,services,reputation,mother,1,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,5,1,2,2,4,12,13,13
GP,M,20,U,LE3,T,3,2,other,services,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,3,4,2,1,5,4,8,14,15,14
MS,F,18,U,LE3,T,4,3,other,at_home,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,1,1,2,10,13,14,14
MS,M,18,U,GT3,T,4,2,other,services,course,mother,2,2,0,no,yes,no,no,no,yes,yes,yes,4,2,2,1,1,4,3,15,15,15
GP,F,18,U,GT3,T,1,2,other,services,home,mother,1,2,0,no,no,yes,no,yes,yes,no,no,4,4,5,2,5,5,5,12,13,13
GP,F,17,U,GT3,T,3,4,teacher,services,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,5,4,2,1,3,2,8,9,10,9
GP,M,16,U,GT3,T,3,2,other,other,course,mother,2,2,1,no,yes,yes,yes,yes,yes,yes,no,4,4,2,3,2,1,5,11,11,12
GP,M,16,U,GT3,T,3,2,services,services,reputation,other,1,1,0,yes,no,no,no,yes,yes,yes,no,4,2,4,1,1,5,7,10,10,10
GP,M,17,R,GT3,T,3,2,other,other,home,father,1,3,0,no,yes,yes,no,yes,no,yes,yes,5,3,2,1,2,4,4,13,14,15
GP,M,16,U,GT3,T,2,1,teacher,at_home,home,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,4,1,5,5,9,10,11,10
GP,M,16,R,LE3,T,3,3,services,other,reputation,mother,1,4,0,no,yes,yes,no,no,yes,yes,no,3,3,2,1,3,3,12,13,14,15
GP,F,17,U,GT3,T,3,2,other,health,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,1,3,4,2,2,5,3,11,11,10
GP,F,16,U,GT3,T,3,1,other,other,home,father,4,1,0,no,no,no,no,yes,yes,yes,no,4,4,5,1,2,5,5,13,14,14
GP,F,16,R,GT3,T,3,4,at_home,teacher,home,father,1,3,1,no,no,no,yes,yes,yes,yes,no,5,3,3,2,4,2,3,12,13,13
GP,F,18,U,GT3,T,4,4,services,other,reputation,mother,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,4,5,6,15,16,16
GP,M,18,R,LE3,T,4,3,services,services,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,3,1,1,2,5,3,14,15,15
GP,F,15,U,GT3,T,2,4,other,other,home,mother,4,4,0,no,no,yes,yes,yes,no,yes,no,5,5,1,1,3,5,7,16,18,18
GP,M,15,U,GT3,T,4,4,services,services,other,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,3,2,2,1,2,3,13,14,14
GP,M,16,R,LE3,T,4,2,services,other,course,father,1,3,0,no,yes,no,yes,yes,no,yes,yes,4,2,3,1,2,3,9,12,13,13
GP,M,18,U,GT3,T,1,3,at_home,services,reputation,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,5,1,3,1,1,2,8,8,9,9
GP,F,18,U,GT3,T,3,3,services,other,course,mother,1,2,0,no,yes,no,yes,no,yes,yes,yes,5,1,2,1,2,5,8,10,10,11
GP,F,15,U,GT3,T,2,2,at_home,other,course,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,4,2,2,1,2,1,8,9,10,10
GP,M,18,U,GT3,A,4,2,services,services,reputation,mother,1,1,1,no,yes,yes,yes,yes,yes,yes,no,4,4,5,1,1,1,10,8,8,8
GP,M,15,R,GT3,T,2,1,other,services,reputation,father,1,2,2,no,yes,yes,no,yes,yes,yes,yes,4,1,2,1,1,5,1,9,9,0
GP,M,16,U,GT3,T,4,3,other,health,course,mother,1,2,0,yes,no,yes,yes,yes,yes,yes,no,4,3,2,4,1,3,3,14,15,15
GP,M,22,U,GT3,T,2,4,other,health,course,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,4,2,3,1,1,4,5,9,10,10
MS,M,15,R,GT3,T,3,4,at_home,other,course,mother,1,4,0,no,yes,yes,no,no,yes,yes,yes,4,3,1,1,3,3,7,14,14,14
MS,F,15,U,GT3,T,4,2,services,at_home,other,mother,1,2,3,yes,yes,no,no,yes,yes,yes,no,4,1,5,1,1,5,2,6,6,6
GP,M,16,U,GT3,T,2,1,other,teacher,reputation,father,1,1,1,no,no,yes,no,yes,yes,yes,no,4,4,2,2,1,2,6,11,13,13
GP,F,17,U,LE3,T,4,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,3,4,4,1,5,3,7,12,13,13
GP,M,19,U,GT3,T,4,3,at_home,teacher,course,father,1,1,0,no,yes,no,yes,no,yes,yes,yes,4,4,3,1,1,4,3,12,12,12
GP,M,20,U,GT3,T,4,4,other,at_home,home,mother,3,1,0,no,no,no,yes,yes,yes,yes,no,4,3,4,2,4,3,7,7,8,8
GP,F,15,U,GT3,A,2,4,other,other,home,mother,1,2,1,no,yes,no,yes,no,yes,no,no,4,4,4,1,3,3,7,7,9,9
GP,F,15,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,4,4,1,3,2,3,12,13,13
GP,F,18,U,GT3,T,1,4,other,other,course,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,1,2,5,8,12,11,11
GP,M,16,U,LE3,T,2,4,health,other,reputation,mother,1,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,2,3,9,11,11
GP,F,18,R,LE3,T,4,2,at_home,other,course,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,4,3,4,3,12,12,11,11
GP,F,17,U,GT3,T,4,1,at_home,teacher,home,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,4,3,3,2,4,3,9,12,13,13
GP,F,15,U,GT3,T,3,1,teacher,other,reputation,mother,1,3,0,no,no,yes,no,yes,yes,yes,no,4,3,3,2,1,3,8,12,12,12
GP,F,18,R,LE3,T,2,2,other,other,course,mother,1,1,0,yes,no,yes,no,yes,yes,no,no,5,4,2,2,3,5,1,9,9,10
GP,F,15,U,GT3,T,4,2,at_home,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,2,2,3,3,15,16,16
GP,F,16,U,GT3,T,4,1,teacher,services,course,father,4,1,0,no,yes,yes,yes,yes,yes,no,no,5,5,3,1,4,5,4,11,11,11
GP,F,17,U,GT3,A,3,4,other,services,home,other,1,2,0,no,yes,no,no,no,yes,yes,no,2,2,1,1,4,5,6,13,14,13
GP,F,17,U,GT3,T,4,1,other,other,course,mother,1,1,1,no,yes,yes,no,yes,yes,yes,no,2,1,3,1,1,5,6,11,12,12
GP,F,17,R,LE3,T,2,4,other,other,home,father,1,4,0,yes,no,yes,yes,yes,yes,yes,no,4,1,1,3,4,5,1,14,14,14
GP,F,17,U,GT3,T,2,4,services,other,other,father,1,1,0,no,no,yes,yes,yes,yes,yes,yes,3,3,3,3,5,2,7,11,11,11
MS,F,21,U,LE3,T,3,3,other,other,course,other,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,4,2,3,5,10,14,15,15
GP,M,22,U,GT3,T,4,3,services,other,home,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,5,4,3,1,1,5,4,11,11,12
MS,F,17,U,GT3,T,2,2,at_home,services,home,mother,1,1,0,yes,no,no,yes,yes,no,yes,no,3,5,4,1,4,4,2,12,12,13
GP,F,15,U,GT3,T,2,3,teacher,at_home,home,mother,1,2,0,no,yes,yes,yes,yes,no,yes,no,4,3,1,2,3,2,5,13,13,13
GP,F,18,U,GT3,T,1,1,other,services,course,father,1,2,0,yes,no,no,no,yes,yes,yes,no,4,3,1,1,1,2,8,12,13,14
GP,F,20,U,GT3,A,4,4,other,services,course,father,3,4,0,yes,yes,yes,no,yes,yes,yes,no,5,3,4,1,4,4,9,14,15,16
GP,F,16,U,GT3,T,2,2,at_home,services,reputation,mother,1,1,0,no,no,yes,no,yes,yes,yes,yes,4,1,4,1,2,3,13,9,9,9
MS,F,16,U,GT3,T,3,2,at_home,other,reputation,mother,2,1,0,no,no,yes,no,no,yes,no,no,3,5,4,1,4,5,6,13,13,13
GP,M,16,U,LE3,T,4,3,other,other,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,4,1,3,3,4,16,16,17
GP,F,15,U,GT3,T,1,3,other,other,reputation,father,3,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,4,4,1,4,6,13,13,13
GP,F,17,U,GT3,T,3,2,services,services,course,mother,1,3,0,yes,no,yes,no,yes,yes,yes,yes,5,3,4,2,5,2,6,13,14,14
GP,F,16,U,GT3,A,3,3,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,1,2,2,5,13,15,15
GP,F,18,R,GT3,T,4,1,other,other,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,1,2,1,7,10,11,10
GP,F,18,U,LE3,T,2,3,other,other,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,3,2,5,5,10,10,10
GP,M,18,R,LE3,T,2,2,other,other,reputation,mother,1,2,2,no,yes,yes,no,no,yes,yes,no,4,4,2,1,1,4,7,8,9,0
GP,M,16,U,LE3,T,2,2,other,other,home,father,4,2,0,yes,no,no,no,yes,yes,yes,yes,3,4,3,1,3,5,5,10,10,10
GP,F,16,R,GT3,T,4,1,other,other,home,other,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,1,3,1,2,5,6,14,15,15
GP,F,18,U,GT3,T,4,2,at_home,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,no,yes,5,2,4,1,5,5,2,11,12,12
GP,F,18,U,GT3,T,1,2,health,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,no,no,4,3,3,1,5,4,4,9,10,10
GP,F,17,U,GT3,T,2,2,at_home,services,other,mother,2,2,1,yes,yes,no,no,yes,yes,yes,no,4,4,2,2,3,5,10,9,10,10
GP,M,18,U,GT3,T,4,1,other,services,course,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,4,5,4,1,1,5,5,15,16,16
MS,F,15,U,GT3,T,0,1,at_home,services,reputation,mother,1,1,2,no,no,no,yes,yes,yes,yes,yes,4,3,2,1,3,5,6,6,7,7
GP,F,18,U,GT3,T,2,3,other,other,course,mother,1,4,0,no,no,yes,no,yes,yes,yes,no,4,3,4,1,1,1,8,14,15,15
GP,M,15,U,GT3,T,3,1,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,5,4,5,6,13,14,14
